Link,Team,CTRCT,Cap Hit,Image
https://www.eliteprospects.com/player/424453/trevor-zegras,Anaheim Ducks,25/26,"$5,750,000",anaheim_ducks.png
https://www.eliteprospects.com/player/12523/alex-killorn,Anaheim Ducks,26/27,"$6,250,000",anaheim_ducks.png
https://www.eliteprospects.com/player/44789/ryan-strome,Anaheim Ducks,26/27,"$5,000,000",anaheim_ducks.png
https://www.eliteprospects.com/player/156923/robby-fabbri,Anaheim Ducks,24/25,"$4,000,000",anaheim_ducks.png
https://www.eliteprospects.com/player/479812/mason-mctavish,Anaheim Ducks,24/25,"$894,167",anaheim_ducks.png
https://www.eliteprospects.com/player/448944/leo-carlsson,Anaheim Ducks,25/26,"$950,000",anaheim_ducks.png
https://www.eliteprospects.com/player/265570/isac-lundestrom,Anaheim Ducks,24/25,"$1,500,000",anaheim_ducks.png
https://www.eliteprospects.com/player/160158/jansen-harkins,Anaheim Ducks,25/26,"$787,500",anaheim_ducks.png
https://www.eliteprospects.com/player/295642/nikita-nesterenko,Anaheim Ducks,24/25,"$874,125",anaheim_ducks.png
https://www.eliteprospects.com/player/340644/nathan-gaucher,Anaheim Ducks,26/27,"$886,666",anaheim_ducks.png
https://www.eliteprospects.com/player/315963/josh-lopina,Anaheim Ducks,24/25,"$878,333",anaheim_ducks.png
https://www.eliteprospects.com/player/427906/jan-mysak,Anaheim Ducks,24/25,"$828,333",anaheim_ducks.png
https://www.eliteprospects.com/player/714960/lucas-pettersson,Anaheim Ducks,,,anaheim_ducks.png
https://www.eliteprospects.com/player/574539/carey-terrance,Anaheim Ducks,,,anaheim_ducks.png
https://www.eliteprospects.com/player/880401/ethan-procyszyn,Anaheim Ducks,,,anaheim_ducks.png
https://www.eliteprospects.com/player/593697/alexandre-blais,Anaheim Ducks,,,anaheim_ducks.png
https://www.eliteprospects.com/player/583030/kyle-kukkonen,Anaheim Ducks,,,anaheim_ducks.png
https://www.eliteprospects.com/player/477352/ethan-bowen,Anaheim Ducks,,,anaheim_ducks.png
https://www.eliteprospects.com/player/526094/cutter-gauthier,Anaheim Ducks,25/26,"$950,000",anaheim_ducks.png
https://www.eliteprospects.com/player/76486/brock-mcginn,Anaheim Ducks,24/25,"$2,750,000",anaheim_ducks.png
https://www.eliteprospects.com/player/106154/ross-johnston,Anaheim Ducks,25/26,"$1,100,000",anaheim_ducks.png
https://www.eliteprospects.com/player/249755/pavol-regenda,Anaheim Ducks,24/25,"$775,000",anaheim_ducks.png
https://www.eliteprospects.com/player/512165/sasha-pastujov,Anaheim Ducks,25/26,"$825,000",anaheim_ducks.png
https://www.eliteprospects.com/player/650108/nico-myatovic,Anaheim Ducks,26/27,"$896,667",anaheim_ducks.png
https://www.eliteprospects.com/player/339555/artyom-galimov,Anaheim Ducks,,,anaheim_ducks.png
https://www.eliteprospects.com/player/234046/troy-terry,Anaheim Ducks,29/30,"$7,000,000",anaheim_ducks.png
https://www.eliteprospects.com/player/59733/frank-vatrano,Anaheim Ducks,24/25,"$3,650,000",anaheim_ducks.png
https://www.eliteprospects.com/player/257755/brett-leason,Anaheim Ducks,24/25,"$1,050,000",anaheim_ducks.png
https://www.eliteprospects.com/player/386333/sam-colangelo,Anaheim Ducks,24/25,"$925,000",anaheim_ducks.png
https://www.eliteprospects.com/player/272540/carson-meyer,Anaheim Ducks,24/25,"$775,000",anaheim_ducks.png
https://www.eliteprospects.com/player/444997/judd-caulfield,Anaheim Ducks,24/25,"$837,500",anaheim_ducks.png
https://www.eliteprospects.com/player/403791/jaxsen-wiebe,Anaheim Ducks,25/26,"$852,500",anaheim_ducks.png
https://www.eliteprospects.com/player/679585/yegor-sidorov,Anaheim Ducks,26/27,"$865,000",anaheim_ducks.png
https://www.eliteprospects.com/player/672925/coulson-pitre,Anaheim Ducks,26/27,"$858,333",anaheim_ducks.png
https://www.eliteprospects.com/player/577196/beckett-sennecke,Anaheim Ducks,26/27,"$975,000",anaheim_ducks.png
https://www.eliteprospects.com/player/724380/maxim-masse,Anaheim Ducks,,,anaheim_ducks.png
https://www.eliteprospects.com/player/664596/austin-burnevik,Anaheim Ducks,,,anaheim_ducks.png
