URL,name,draft_year,pick_number,playerid,Date of Birth,Height,Weight
https://www.eliteprospects.com/player/8607/roman-hamrlik,Roman Hamrlik,1992,1,8607,1974-04-12,185.0,207.0
https://www.eliteprospects.com/player/8695/alexei-yashin,Alexei Yashin,1992,2,8695,1973-11-05,192.0,227.0
https://www.eliteprospects.com/player/8844/mike-rathje,Mike Rathje,1992,3,8844,1974-05-11,196.0,236.0
https://www.eliteprospects.com/player/3726/todd-warriner,Todd Warriner,1992,4,3726,1974-01-03,185.0,201.0
https://www.eliteprospects.com/player/8685/darius-kasparaitis,Darius Kasparaitis,1992,5,8685,1972-10-16,179.0,207.0
https://www.eliteprospects.com/player/8894/cory-stillman,Cory Stillman,1992,6,8894,1973-12-20,183.0,201.0
https://www.eliteprospects.com/player/54595/ryan-sittler,Ryan Sittler,1992,7,54595,1974-01-28,188.0,194.0
https://www.eliteprospects.com/player/155/brandon-convery,Brandon Convery,1992,8,155,1974-02-04,181.0,198.0
https://www.eliteprospects.com/player/1916/robert-petrovicky,Robert Petrovicky,1992,9,1916,1973-10-26,181.0,179.0
https://www.eliteprospects.com/player/32117/andrei-nazarov,Andrei Nazarov,1992,10,32117,1974-05-22,195.0,229.0
https://www.eliteprospects.com/player/18157/david-cooper,David Cooper,1992,11,18157,1973-11-02,188.0,205.0
https://www.eliteprospects.com/player/18730/sergei-krivokrasov,Sergei Krivokrasov,1992,12,18730,1974-04-15,179.0,194.0
https://www.eliteprospects.com/player/39282/joe-hulbig,Joe Hulbig,1992,13,39282,1973-09-29,191.0,214.0
https://www.eliteprospects.com/player/8678/sergei-gonchar,Sergei Gonchar,1992,14,8678,1974-04-13,188.0,209.0
https://www.eliteprospects.com/player/54596/jason-bowen,Jason Bowen,1992,15,54596,1973-11-09,193.0,220.0
https://www.eliteprospects.com/player/22166/dmitri-kvartalnov,Dmitri Kvartalnov,1992,16,22166,1966-03-25,176.0,187.0
https://www.eliteprospects.com/player/1863/sergei-bautin,Sergei Bautin,1992,17,1863,1967-03-11,195.0,231.0
https://www.eliteprospects.com/player/8883/jason-smith,Jason Smith,1992,18,8883,1973-11-02,191.0,209.0
https://www.eliteprospects.com/player/8689/martin-straka,Martin Straka,1992,19,8689,1972-09-03,176.0,174.0
https://www.eliteprospects.com/player/54764/david-wilkie,David Wilkie,1992,20,54764,1974-05-30,191.0,216.0
https://www.eliteprospects.com/player/1163/libor-polasek,Libor Polasek,1992,21,1163,1974-04-22,194.0,243.0
https://www.eliteprospects.com/player/54761/curtis-bowen,Curtis Bowen,1992,22,54761,1974-03-24,185.0,205.0
https://www.eliteprospects.com/player/8967/grant-marshall,Grant Marshall,1992,23,8967,1973-06-09,185.0,201.0
https://www.eliteprospects.com/player/4398/peter-ferraro,Peter Ferraro,1992,24,4398,1973-01-24,180.0,181.0
https://www.eliteprospects.com/player/74469/chad-penney,Chad Penney,1992,25,74469,1973-09-18,183.0,194.0
https://www.eliteprospects.com/player/3727/drew-bannister,Drew Bannister,1992,26,3727,1974-04-09,188.0,201.0
https://www.eliteprospects.com/player/21563/boris-mironov,Boris Mironov,1992,27,21563,1972-03-21,190.0,212.0
https://www.eliteprospects.com/player/24/paul-brousseau,Paul Brousseau,1992,28,24,1973-09-18,189.0,209.0
https://www.eliteprospects.com/player/3315/tuomas-gronman,Tuomas Gronman,1992,29,3315,1974-03-22,192.0,198.0
https://www.eliteprospects.com/player/27949/chris-o-sullivan,Chris O'Sullivan,1992,30,27949,1974-05-15,188.0,212.0
https://www.eliteprospects.com/player/24217/denis-metlyuk,Denis Metlyuk,1992,31,24217,1972-01-30,188.0,203.0
https://www.eliteprospects.com/player/9675/valeri-bure,Valeri Bure,1992,33,9675,1974-06-13,180.0,181.0
https://www.eliteprospects.com/player/1599/jarkko-varvio,Jarkko Varvio,1992,34,1599,1972-04-28,177.0,183.0
https://www.eliteprospects.com/player/25630/jozef-cierny,Jozef Cierny,1992,35,25630,1974-05-17,188.0,198.0
https://www.eliteprospects.com/player/12798/jeff-shantz,Jeff Shantz,1992,36,12798,1973-10-10,183.0,209.0
https://www.eliteprospects.com/player/18236/martin-reichel,Martin Reichel,1992,37,18236,1973-11-07,187.0,190.0
https://www.eliteprospects.com/player/18257/igor-korolyov,Igor Korolyov,1992,38,18257,1970-09-06,187.0,198.0
https://www.eliteprospects.com/player/73261/justin-hocking,Justin Hocking,1992,39,73261,1974-01-09,193.0,216.0
https://www.eliteprospects.com/player/8910/michael-peca,Michael Peca,1992,40,8910,1974-03-26,183.0,187.0
