Year,Overall,Player Link,URL,name,draft_year,pick_number,playerid,Date of Birth,Height,Weight,Team,CTRCT,Cap Hit,Image
1963,1,/players/m/monahga01.html,,,,,,,,,,,,
1963,2,/players/m/mahovpe01.html,,,,,,,,,,,,
1963,6,/players/m/mckecwa01.html,,,,,,,,,,,,
1963,17,/players/m/mckenji01.html,,,,,,,,,,,,
1963,21,/players/m/meehage01.html,,,,,,,,,,,,
1964,5,/players/m/martito01.html,,,,,,,,,,,,
1964,7,/players/w/wattsbr01.html,,,,,,,,,,,,
1964,9,/players/e/eccleti01.html,,,,,,,,,,,,
1964,14,/players/d/drydeke01.html,,,,,,,,,,,,
1964,17,/players/p/pelykmi01.html,,,,,,,,,,,,
1964,19,/players/l/leclere01.html,,,,,,,,,,,,
1964,21,/players/a/appssy02.html,,,,,,,,,,,,
1964,22,/players/l/labbemo01.html,,,,,,,,,,,,
1964,23,/players/d/doreyji01.html,,,,,,,,,,,,
1965,5,/players/b/bouchpi01.html,,,,,,,,,,,,
1965,10,/players/p/parizmi01.html,,,,,,,,,,,,
1966,1,/players/g/gibbsba01.html,,,,,,,,,,,,
1966,2,/players/p/parkbr01.html,,,,,,,,,,,,
1966,3,/players/c/caffete01.html,,,,,,,,,,,,
1966,4,/players/w/wrighjo01.html,,,,,,,,,,,,
1966,5,/players/m/myreph01.html,,,,,,,,,,,,
1966,6,/players/a/atkinst01.html,,,,,,,,,,,,
1966,7,/players/s/smithri01.html,,,,,,,,,,,,
1966,8,/players/j/johnsjo01.html,,,,,,,,,,,,
1966,13,/players/b/bailega01.html,,,,,,,,,,,,
1966,14,/players/l/lucedo01.html,,,,,,,,,,,,
1966,16,/players/l/leyri01.html,,,,,,,,,,,,
1966,17,/players/d/drouiju01.html,,,,,,,,,,,,
1966,19,/players/w/webstto01.html,,,,,,,,,,,,
1966,20,/players/e/egersja01.html,,,,,,,,,,,,
1967,5,/players/b/bernise01.html,,,,,,,,,,,,
1967,16,/players/k/kellybo01.html,,,,,,,,,,,,
1967,17,/players/k/karlaal01.html,,,,,,,,,,,,
1968,1,/players/p/plassmi01.html,,,,,,,,,,,,
1968,4,/players/s/swainga01.html,,,,,,,,,,,,
1968,6,/players/e/edwarga01.html,,,,,,,,,,,,
1968,8,/players/m/morrile01.html,,,,,,,,,,,,
1968,9,/players/m/marksjo01.html,,,,,,,,,,,,
1968,10,/players/s/selwobr01.html,,,,,,,,,,,,
1968,11,/players/a/andrast01.html,,,,,,,,,,,,
1968,12,/players/s/schocda01.html,,,,,,,,,,,,
1968,14,/players/s/snellro01.html,,,,,,,,,,,,
1968,16,/players/b/bennecu01.html,,,,,,,,,,,,
1969,1,/players/h/houlere01.html,,,,,,,,,,,,
1969,2,/players/t/tardima01.html,,,,,,,,,,,,
1969,3,/players/t/tannado01.html,,,,,,,,,,,,
1969,4,/players/s/sprinfr01.html,,,,,,,,,,,,
1969,5,/players/r/redmodi01.html,,,,,,,,,,,,
1969,7,/players/f/feathto01.html,,,,,,,,,,,,
1969,8,/players/d/duponan01.html,,,,,,,,,,,,
1969,10,/players/r/rutheji01.html,,,,,,,,,,,,
1969,11,/players/b/boldiiv01.html,,,,,,,,,,,,
1969,12,/players/j/jarrypi01.html,,,,,,,,,,,,
1969,13,/players/b/bordejp01.html,,,,,,,,,,,,
1969,14,/players/o/obriede01.html,,,,,,,,,,,,
1969,15,/players/k/kesseri01.html,,,,,,,,,,,,
1969,16,/players/h/hoganda01.html,,,,,,,,,,,,
1969,17,/players/c/clarkbo01.html,,,,,,,,,,,,
1969,18,/players/s/stackro01.html,,,,,,,,,,,,
1969,20,/players/b/brinddo01.html,,,,,,,,,,,,
1969,21,/players/g/garwaro01.html,,,,,,,,,,,,
1969,23,/players/w/wilsobe01.html,,,,,,,,,,,,
1969,24,/players/r/romanla01.html,,,,,,,,,,,,
1969,25,/players/g/gilbegi01.html,,,,,,,,,,,,
1969,26,/players/b/briermi01.html,,,,,,,,,,,,
1969,27,/players/b/boddygr01.html,,,,,,,,,,,,
1969,28,/players/b/brosswi01.html,,,,,,,,,,,,
1969,29,/players/o/odonodo01.html,,,,,,,,,,,,
1969,31,/players/m/mcintla01.html,,,,,,,,,,,,
1969,32,/players/s/sheehbo01.html,,,,,,,,,,,,
1969,35,/players/m/morrike01.html,,,,,,,,,,,,
1969,37,/players/o/odonnfr01.html,,,,,,,,,,,,
1969,38,/players/l/labreyv01.html,,,,,,,,,,,,
1969,39,/players/l/landobr01.html,,,,,,,,,,,,
1969,40,/players/b/belhumi01.html,,,,,,,,,,,,
1969,42,/players/t/tealvi01.html,,,,,,,,,,,,
1969,43,/players/h/hughefr01.html,,,,,,,,,,,,
1969,44,/players/a/andermu01.html,,,,,,,,,,,,
1969,48,/players/m/maggsda01.html,,,,,,,,,,,,
1969,51,/players/g/gorinbu01.html,,,,,,,,,,,,
1969,52,/players/s/schulda01.html,,,,,,,,,,,,
1969,55,/players/s/spencbr01.html,,,,,,,,,,,,
1969,59,/players/s/smithgo01.html,,,,,,,,,,,,
1969,60,/players/b/baumgmi01.html,,,,,,,,,,,,
1969,62,/players/h/hoganpa01.html,,,,,,,,,,,,
1969,63,/players/d/delpagu01.html,,,,,,,,,,,,
1969,64,/players/s/salesdo01.html,,,,,,,,,,,,
1969,65,/players/n/nichone01.html,,,,,,,,,,,,
1969,68,/players/p/powisly01.html,,,,,,,,,,,,
1969,69,/players/j/jonesji01.html,,,,,,,,,,,,
1969,71,/players/h/hudsoda01.html,,,,,,,,,,,,
1969,73,/players/c/collybo01.html,,,,,,,,,,,,
1969,76,/players/v/viponpe01.html,,,,,,,,,,,,
1969,77,/players/p/pulkkda01.html,,,,,,,,,,,,
1970,1,/players/p/perregi01.html,,,,,,,,,,,,
1970,2,/players/t/talloda01.html,,,,,,,,,,,,
1970,3,/players/l/leachre01.html,,,,,,,,,,,,
1970,4,/players/m/macleri01.html,,,,,,,,,,,,
1970,6,/players/l/leflech01.html,,,,,,,,,,,,
1970,7,/players/p/polisgr01.html,,,,,,,,,,,,
1970,8,/players/s/sittlda01.html,,,,,,,,,,,,
1970,9,/players/p/plumbro01.html,,,,,,,,,,,,
1970,10,/players/o/oddlech01.html,,,,,,,,,,,,
1970,11,/players/g/grattno01.html,,,,,,,,,,,,
1970,12,/players/l/lajeuse01.html,,,,,,,,,,,,
1970,13,/players/s/stewabo01.html,,,,,,,,,,,,
1970,14,/players/m/malonda01.html,,,,,,,,,,,,
1970,15,/players/d/deadmbu01.html,,,,,,,,,,,,
1970,16,/players/h/hargrji01.html,,,,,,,,,,,,
1970,17,/players/h/harvebu01.html,,,,,,,,,,,,
1970,18,/players/c/clemebi01.html,,,,,,,,,,,,
1970,19,/players/l/lafrape01.html,,,,,,,,,,,,
1970,20,/players/b/barrefr01.html,,,,,,,,,,,,
1970,21,/players/s/stewajo01.html,,,,,,,,,,,,
1970,22,/players/t/thomper01.html,,,,,,,,,,,,
1970,24,/players/m/mcdonal01.html,,,,,,,,,,,,
1970,25,/players/m/murphmi01.html,,,,,,,,,,,,
1970,26,/players/g/guindbo01.html,,,,,,,,,,,,
1970,27,/players/b/bouchda01.html,,,,,,,,,,,,
1970,28,/players/a/archami01.html,,,,,,,,,,,,
1970,30,/players/d/dycked01.html,,,,,,,,,,,,
1970,31,/players/c/carlyst01.html,,,,,,,,,,,,
1970,32,/players/k/kellybo02.html,,,,,,,,,,,,
1970,33,/players/r/rotara01.html,,,,,,,,,,,,
1970,34,/players/p/pattede01.html,,,,,,,,,,,,
1970,35,/players/b/bignela01.html,,,,,,,,,,,,
1970,36,/players/o/oflahge01.html,,,,,,,,,,,,
1970,38,/players/h/holbrte01.html,,,,,,,,,,,,
1970,40,/players/l/lambeyv01.html,,,,,,,,,,,,
1970,42,/players/f/frigle01.html,,,,,,,,,,,,
1970,43,/players/w/wyrozra01.html,,,,,,,,,,,,
1970,47,/players/m/mcanete01.html,,,,,,,,,,,,
1970,48,/players/c/cressda01.html,,,,,,,,,,,,
1970,49,/players/f/foreyco01.html,,,,,,,,,,,,
1970,50,/players/g/grypbo01.html,,,,,,,,,,,,
1970,51,/players/b/brookgo01.html,,,,,,,,,,,,
1970,56,/players/l/ledinwa01.html,,,,,,,,,,,,
1970,59,/players/s/smithbi01.html,,,,,,,,,,,,
1970,62,/players/l/lehvohe01.html,,,,,,,,,,,,
1970,63,/players/c/cardwst01.html,,,,,,,,,,,,
1970,66,/players/w/wilsori01.html,,,,,,,,,,,,
1970,67,/players/c/coaltga01.html,,,,,,,,,,,,
1970,68,/players/m/melloto01.html,,,,,,,,,,,,
1970,70,/players/m/melocgi01.html,,,,,,,,,,,,
1970,77,/players/f/fitchbo01.html,,,,,,,,,,,,
1970,81,/players/w/wyliedu01.html,,,,,,,,,,,,
1970,82,/players/m/macnebe01.html,,,,,,,,,,,,
1970,83,/players/w/wingmu01.html,,,,,,,,,,,,
1970,86,/players/c/carlibr01.html,,,,,,,,,,,,
1970,87,/players/n/nowakha01.html,,,,,,,,,,,,
1970,88,/players/m/murrate01.html,,,,,,,,,,,,
1970,89,/players/g/geldaga01.html,,,,,,,,,,,,
1970,97,/players/r/rombodo01.html,,,,,,,,,,,,
1970,102,/players/n/newtoca01.html,,,,,,,,,,,,
1970,103,/players/l/lowro01.html,,,,,,,,,,,,
1970,104,/players/t/tatarda01.html,,,,,,,,,,,,
1970,111,/players/l/lampmmi01.html,,,,,,,,,,,,
1971,1,/players/l/laflegu01.html,,,,,,,,,,,,
1971,2,/players/d/dionnma01.html,,,,,,,,,,,,
1971,3,/players/g/guevrjo01.html,,,,,,,,,,,,
1971,4,/players/c/carrge01.html,,,,,,,,,,,,
1971,5,/players/m/martiri01.html,,,,,,,,,,,,
1971,6,/players/j/jonesro01.html,,,,,,,,,,,,
1971,7,/players/a/arnasch01.html,,,,,,,,,,,,
1971,8,/players/w/wrighla01.html,,,,,,,,,,,,
1971,9,/players/p/plantpi01.html,,,,,,,,,,,,
1971,10,/players/v/vickest01.html,,,,,,,,,,,,
1971,11,/players/w/wilsomu01.html,,,,,,,,,,,,
1971,13,/players/d/durbast01.html,,,,,,,,,,,,
1971,14,/players/o/oreilte01.html,,,,,,,,,,,,
1971,15,/players/b/bairdke01.html,,,,,,,,,,,,
1971,16,/players/b/bouchhe01.html,,,,,,,,,,,,
1971,17,/players/l/lalonbo01.html,,,,,,,,,,,,
1971,18,/players/m/mckenbr01.html,,,,,,,,,,,,
1971,19,/players/r/ramsacr01.html,,,,,,,,,,,,
1971,20,/players/r/robinla01.html,,,,,,,,,,,,
1971,21,/players/n/norriro01.html,,,,,,,,,,,,
1971,22,/players/k/kehoeri01.html,,,,,,,,,,,,
1971,23,/players/f/fortida01.html,,,,,,,,,,,,
1971,26,/players/k/kryskda01.html,,,,,,,,,,,,
1971,27,/players/w/willito02.html,,,,,,,,,,,,
1971,28,/players/r/ridlecu01.html,,,,,,,,,,,,
1971,29,/players/l/leducri01.html,,,,,,,,,,,,
1971,32,/players/n/norisjo01.html,,,,,,,,,,,,
1971,33,/players/h/hajtbi01.html,,,,,,,,,,,,
1971,34,/players/v/venasvi01.html,,,,,,,,,,,,
1971,38,/players/g/garrejo01.html,,,,,,,,,,,,
1971,39,/players/l/lemieri01.html,,,,,,,,,,,,
1971,43,/players/m/monahha01.html,,,,,,,,,,,,
1971,47,/players/r/richebo01.html,,,,,,,,,,,,
1971,48,/players/k/komadne01.html,,,,,,,,,,,,
1971,53,/players/h/hubicgr01.html,,,,,,,,,,,,
